fund_goal, fund_attained, unique_contributions, total_contributions, description_length
2500.0, 2835.0, 61.0, 63.0, 4147
2000.0, 1205.0, 14.0, 16.0, 4680
5500.0, 210.0, 7.0, 7.0, 4376
5700.0, 1545.0, 17.0, 17.0, 2808
3500.0, 2413.0, 32.0, 35.0, 2599
3500.0, 605.0, 13.0, 13.0, 2199
1000.0, 1065.0, 33.0, 35.0, 1509
4500.0, 1070.0, 12.0, 13.0, 5703
4000.0, 450.0, 8.0, 8.0, 4270
3260.0, 1300.0, 25.0, 26.0, 4930
2000.0, 151.0, 8.0, 8.0, 4185
1000.0, 1000.0, 19.0, 19.0, 1614
6000.0, 10131.0, 168.0, 170.0, 5568
5000.0, 1129.0, 30.0, 31.0, 3053
3000.0, 420.0, 14.0, 15.0, 4754
711.0, 711.0, 25.0, 25.0, 4065
12000.0, 3000.0, 19.0, 21.0, 4506
5000.0, 1170.0, 18.0, 18.0, 4580
500.0, 828.0, 20.0, 20.0, 4971
1200.0, 1080.0, 31.0, 31.0, 2585
2700.0, 915.0, 24.0, 25.0, 10112
1500.0, 128.0, 8.0, 8.0, 2420
3500.0, 899.0, 19.0, 19.0, 5520
5000.0, 700.0, 20.0, 20.0, 4517
2500.0, 3023.0, 74.0, 74.0, 4374
3000.0, 1330.0, 26.0, 26.0, 3855
5000.0, 1165.0, 19.0, 19.0, 2889
1715.0, 970.0, 22.0, 23.0, 2477
12000.0, 1410.0, 40.0, 40.0, 12933
1250.0, 250.0, 3.0, 3.0, 2505
5000.0, 1765.0, 31.0, 33.0, 4265
1500.0, 515.0, 16.0, 16.0, 1476
5800.0, 440.0, 9.0, 9.0, 5527
1000.0, 1000.0, 14.0, 14.0, 3280
15000.0, 265.0, 8.0, 8.0, 4653
6000.0, 715.0, 16.0, 16.0, 5084
2000.0, 1120.0, 27.0, 28.0, 4332
6700.0, 4460.0, 58.0, 58.0, 3682
5000.0, 1266.0, 37.0, 39.0, 7417
14000.0, 5085.0, 52.0, 54.0, 4130
5000.0, 200.0, 11.0, 11.0, 9198
3300.0, 1020.0, 30.0, 32.0, 3871
4000.0, 755.0, 16.0, 16.0, 6602
5000.0, 265.0, 9.0, 9.0, 4591
20000.0, 122.0, 8.0, 8.0, 2839
3500.0, 5000.0, 79.0, 81.0, 3738
2500.0, 1104.0, 28.0, 29.0, 4715
3125.0, 1990.0, 42.0, 42.0, 3235
7000.0, 4110.0, 49.0, 52.0, 5736
